a,b,alpha,S,kind,status
6.5,7.5,5.0,49.04854212857794,b_contact,NotYet
3.5,13.2,5.0,46.58952693768889,a_contact,NotYet
6.6,7.3,10.0,47.95808757451364,b_contact,NotYet
3.5,13.1,10.0,45.969053216542164,a_contact,NotYet
6.6,6.9,15.0,45.738138956113225,b_contact,NotYet
3.7,12.7,15.0,46.58891217320823,a_contact,NotYet
6.7,6.5,20.0,43.32446695854223,b_contact,NotYet
3.8,12.3,20.0,46.56114942531758,a_contact,NotYet
7.4,6.0,25.0,44.84103819646294,b_contact,NotYet
3.9,12.0,25.0,47.10516503796751,a_contact,NotYet
7.0,6.8,30.0,47.522954799379626,local_min,NotYet
8.3,5.6,30.0,46.84754116896439,b_contact,NotYet
4.0,11.7,30.0,47.516279087730986,a_contact,NotYet
7.0,7.0,35.0,49.51513746428806,local_min,NotYet
9.0,5.4,35.0,48.67163105040197,b_contact,NotYet
4.2,11.4,35.0,47.39607623088167,a_contact,NotYet
7.1,7.1,40.0,50.60513500178676,local_min,NotYet
9.7,5.1,40.0,49.62766815445222,b_contact,NotYet
4.6,10.8,40.0,49.6777295992478,a_contact,NotYet
7.1,7.1,45.0,50.95271341177811,local_min,NotYet
10.3,4.8,45.0,49.54561627262791,b_contact,NotYet
4.8,10.3,45.0,49.545612590944444,a_contact,NotYet
