alpha,a,b,E,J_t,J_p,kind
0.0,6.3,7.4,-51.72344799,-221.049,1.011,HB (b_contact)
5.0,6.4,7.2,-52.92130936,-215.136,0.694,HB (b_contact)
10.0,6.5,7.0,-56.79783773,-203.356,0.371,HB (b_contact)
15.0,6.6,6.6,-63.78133628,-194.166,-7.623,HB (b_contact)
20.0,6.8,6.3,-71.57310034,-163.637,-27.889,HB (b_contact)
25.0,7.2,6.0,-75.07770855,-112.553,-58.673,HB (b_contact)
30.0,7.7,5.7,-72.67184274,-65.58,-95.927,HB (b_contact)
35.0,8.4,5.4,-67.79349089,-24.342,-133.264,HB (b_contact)
40.0,9.0,5.1,-63.34749344,-4.711,-163.334,HB (b_contact)
45.0,9.7,4.8,-60.18159253,6.408,-178.506,HB (b_contact)
0.0,3.9,12.2,-47.37186946,-18.284,181.439,PS (a_contact)
5.0,3.9,12.2,-47.87146531,-17.099,176.183,PS (a_contact)
10.0,3.9,12.1,-49.30548128,-15.376,160.016,PS (a_contact)
15.0,3.8,12.1,-51.49514982,-9.261,157.315,PS (a_contact)
20.0,3.8,12.0,-54.01142225,-3.911,109.482,PS (a_contact)
25.0,3.9,11.7,-55.84643217,0.14,28.4,PS (a_contact)
30.0,4.1,11.2,-56.58531013,2.861,-56.318,PS (a_contact)
35.0,4.3,10.8,-57.12638189,6.62,-122.428,PS (a_contact)
40.0,4.5,10.3,-58.15751134,9.283,-171.134,PS (a_contact)
45.0,4.8,9.7,-60.18159002,6.408,-178.506,PS (a_contact)
